#    L    TT             EE             TE             PP             TP          
    75   0.198579E+04   0.350114E+00  -0.776677E+01   0.471555E+07   0.862405E+04
    76   0.201206E+04   0.362778E+00  -0.824320E+01   0.468591E+07   0.849150E+04
    77   0.203865E+04   0.375612E+00  -0.872937E+01   0.465624E+07   0.836534E+04
    78   0.206559E+04   0.388645E+00  -0.922693E+01   0.462657E+07   0.824456E+04
    79   0.209268E+04   0.401823E+00  -0.973234E+01   0.459690E+07   0.812814E+04
    80   0.212000E+04   0.415153E+00  -0.102473E+02   0.456727E+07   0.801506E+04
    81   0.214744E+04   0.428585E+00  -0.107724E+02   0.453768E+07   0.790444E+04
    82   0.217509E+04   0.442142E+00  -0.113069E+02   0.450815E+07   0.779583E+04
    83   0.220290E+04   0.455798E+00  -0.118503E+02   0.447869E+07   0.768895E+04
    84   0.223096E+04   0.469548E+00  -0.124008E+02   0.444931E+07   0.758348E+04
    85   0.225917E+04   0.483368E+00  -0.129596E+02   0.442003E+07   0.747911E+04
    86   0.228760E+04   0.497268E+00  -0.135255E+02   0.439086E+07   0.737565E+04
    87   0.231649E+04   0.511222E+00  -0.140977E+02   0.436180E+07   0.727327E+04
    88   0.234536E+04   0.525248E+00  -0.146762E+02   0.433285E+07   0.717227E+04
    89   0.237460E+04   0.539333E+00  -0.152625E+02   0.430403E+07   0.707294E+04
    90   0.240403E+04   0.553444E+00  -0.158535E+02   0.427534E+07   0.697557E+04
    91   0.243357E+04   0.567577E+00  -0.164500E+02   0.424679E+07   0.688039E+04
    92   0.246337E+04   0.581718E+00  -0.170513E+02   0.421838E+07   0.678740E+04
    93   0.249343E+04   0.595862E+00  -0.176575E+02   0.419011E+07   0.669653E+04
    94   0.252354E+04   0.609973E+00  -0.182671E+02   0.416198E+07   0.660772E+04
    95   0.255392E+04   0.624053E+00  -0.188812E+02   0.413400E+07   0.652089E+04
    96   0.258426E+04   0.638088E+00  -0.194989E+02   0.410617E+07   0.643600E+04
    97   0.261503E+04   0.652066E+00  -0.201196E+02   0.407849E+07   0.635296E+04
    98   0.264600E+04   0.665980E+00  -0.207413E+02   0.405097E+07   0.627172E+04
    99   0.267701E+04   0.679795E+00  -0.213670E+02   0.402360E+07   0.619222E+04
   100   0.270831E+04   0.693512E+00  -0.219922E+02   0.399640E+07   0.611438E+04
   101   0.273973E+04   0.707194E+00  -0.226202E+02   0.396936E+07   0.603815E+04
   102   0.277166E+04   0.720692E+00  -0.232487E+02   0.394248E+07   0.596346E+04
   103   0.280350E+04   0.734083E+00  -0.238786E+02   0.391577E+07   0.589024E+04
   104   0.283556E+04   0.747368E+00  -0.245070E+02   0.388922E+07   0.581843E+04
   105   0.286774E+04   0.760474E+00  -0.251355E+02   0.386286E+07   0.574797E+04
   106   0.290015E+04   0.773479E+00  -0.257635E+02   0.383666E+07   0.567878E+04
   107   0.293247E+04   0.786234E+00  -0.263895E+02   0.381065E+07   0.561081E+04
   108   0.296516E+04   0.798815E+00  -0.270144E+02   0.378481E+07   0.554400E+04
   109   0.299800E+04   0.811151E+00  -0.276368E+02   0.375916E+07   0.547827E+04
   110   0.303091E+04   0.823242E+00  -0.282554E+02   0.373370E+07   0.541356E+04
   111   0.306397E+04   0.835164E+00  -0.288716E+02   0.370842E+07   0.534982E+04
   112   0.309718E+04   0.846843E+00  -0.294847E+02   0.368333E+07   0.528703E+04
   113   0.313061E+04   0.858280E+00  -0.300933E+02   0.365842E+07   0.522518E+04
   114   0.316411E+04   0.869401E+00  -0.306967E+02   0.363371E+07   0.516428E+04
   115   0.319783E+04   0.880354E+00  -0.312947E+02   0.360918E+07   0.510431E+04
   116   0.323155E+04   0.890917E+00  -0.318867E+02   0.358484E+07   0.504527E+04
   117   0.326557E+04   0.901163E+00  -0.324718E+02   0.356068E+07   0.498716E+04
   118   0.329972E+04   0.911243E+00  -0.330509E+02   0.353671E+07   0.492997E+04
   119   0.333387E+04   0.921007E+00  -0.336217E+02   0.351293E+07   0.487368E+04
   120   0.336817E+04   0.930308E+00  -0.341842E+02   0.348934E+07   0.481831E+04
   121   0.340245E+04   0.939441E+00  -0.347384E+02   0.346593E+07   0.476384E+04
   122   0.343680E+04   0.948112E+00  -0.352835E+02   0.344270E+07   0.471026E+04
   123   0.347121E+04   0.956394E+00  -0.358195E+02   0.341966E+07   0.465757E+04
   124   0.350569E+04   0.964361E+00  -0.363435E+02   0.339681E+07   0.460577E+04
   125   0.354015E+04   0.971940E+00  -0.368577E+02   0.337414E+07   0.455486E+04
   126   0.357467E+04   0.979204E+00  -0.373613E+02   0.335166E+07   0.450481E+04
   127   0.360918E+04   0.986007E+00  -0.378535E+02   0.332936E+07   0.445563E+04
   128   0.364368E+04   0.992496E+00  -0.383337E+02   0.330725E+07   0.440732E+04
   129   0.367823E+04   0.998523E+00  -0.388011E+02   0.328532E+07   0.435987E+04
   130   0.371277E+04   0.100409E+01  -0.392549E+02   0.326357E+07   0.431327E+04
   131   0.374729E+04   0.100934E+01  -0.396966E+02   0.324201E+07   0.426751E+04
   132   0.378187E+04   0.101413E+01  -0.401232E+02   0.322063E+07   0.422258E+04
   133   0.381635E+04   0.101853E+01  -0.405371E+02   0.319943E+07   0.417846E+04
   134   0.385083E+04   0.102254E+01  -0.409338E+02   0.317841E+07   0.413512E+04
   135   0.388529E+04   0.102607E+01  -0.413163E+02   0.315757E+07   0.409256E+04
   136   0.391959E+04   0.102915E+01  -0.416809E+02   0.313691E+07   0.405074E+04
   137   0.395389E+04   0.103182E+01  -0.420299E+02   0.311643E+07   0.400965E+04
   138   0.398810E+04   0.103402E+01  -0.423619E+02   0.309612E+07   0.396927E+04
   139   0.402208E+04   0.103590E+01  -0.426760E+02   0.307598E+07   0.392959E+04
   140   0.405613E+04   0.103723E+01  -0.429732E+02   0.305602E+07   0.389057E+04
   141   0.408996E+04   0.103808E+01  -0.432512E+02   0.303623E+07   0.385220E+04
   142   0.412379E+04   0.103853E+01  -0.435108E+02   0.301661E+07   0.381447E+04
   143   0.415754E+04   0.103857E+01  -0.437521E+02   0.299715E+07   0.377735E+04
   144   0.419106E+04   0.103814E+01  -0.439742E+02   0.297787E+07   0.374081E+04
   145   0.422445E+04   0.103737E+01  -0.441765E+02   0.295875E+07   0.370486E+04
   146   0.425791E+04   0.103604E+01  -0.443591E+02   0.293980E+07   0.366945E+04
   147   0.429100E+04   0.103437E+01  -0.445204E+02   0.292101E+07   0.363458E+04
   148   0.432396E+04   0.103222E+01  -0.446621E+02   0.290238E+07   0.360022E+04
