#           k/h    P           
   0.420980E-02   0.156303E+05
   0.429484E-02   0.158450E+05
   0.438160E-02   0.160608E+05
   0.447012E-02   0.162774E+05
   0.456042E-02   0.164949E+05
   0.465255E-02   0.167131E+05
   0.474653E-02   0.169320E+05
   0.484242E-02   0.171514E+05
   0.494024E-02   0.173714E+05
   0.504004E-02   0.175917E+05
   0.514186E-02   0.178124E+05
   0.524573E-02   0.180333E+05
   0.535170E-02   0.182544E+05
   0.545981E-02   0.184755E+05
   0.557011E-02   0.186965E+05
   0.568263E-02   0.189172E+05
   0.579743E-02   0.191376E+05
   0.591455E-02   0.193573E+05
   0.603403E-02   0.195764E+05
   0.615592E-02   0.197946E+05
   0.628028E-02   0.200119E+05
   0.640715E-02   0.202281E+05
   0.653658E-02   0.204431E+05
   0.666863E-02   0.206568E+05
   0.680335E-02   0.208690E+05
   0.694078E-02   0.210795E+05
   0.708100E-02   0.212882E+05
   0.722404E-02   0.214949E+05
   0.736998E-02   0.216995E+05
   0.751886E-02   0.219016E+05
   0.767075E-02   0.221013E+05
   0.782571E-02   0.222982E+05
   0.798380E-02   0.224922E+05
   0.814509E-02   0.226831E+05
   0.830963E-02   0.228707E+05
   0.847750E-02   0.230548E+05
   0.864875E-02   0.232352E+05
   0.882347E-02   0.234117E+05
   0.900171E-02   0.235840E+05
   0.918356E-02   0.237520E+05
   0.936908E-02   0.239154E+05
   0.955835E-02   0.240741E+05
   0.975144E-02   0.242277E+05
   0.994843E-02   0.243760E+05
   0.101494E-01   0.245189E+05
   0.103544E-01   0.246560E+05
   0.105636E-01   0.247872E+05
   0.107770E-01   0.249121E+05
   0.109947E-01   0.250306E+05
   0.112168E-01   0.251423E+05
   0.114434E-01   0.252470E+05
   0.116746E-01   0.253443E+05
   0.119104E-01   0.254340E+05
   0.121510E-01   0.255160E+05
   0.123965E-01   0.255901E+05
   0.126469E-01   0.256562E+05
   0.129024E-01   0.257141E+05
   0.131631E-01   0.257638E+05
   0.134290E-01   0.258044E+05
   0.137003E-01   0.258352E+05
   0.139770E-01   0.258556E+05
   0.142594E-01   0.258646E+05
   0.145474E-01   0.258622E+05
   0.148413E-01   0.258495E+05
   0.151411E-01   0.258283E+05
   0.154470E-01   0.258002E+05
   0.157590E-01   0.257670E+05
   0.160774E-01   0.257292E+05
   0.164022E-01   0.256845E+05
   0.167335E-01   0.256297E+05
   0.170716E-01   0.255620E+05
   0.174164E-01   0.254784E+05
   0.177683E-01   0.253771E+05
   0.181272E-01   0.252595E+05
   0.184934E-01   0.251275E+05
   0.188670E-01   0.249830E+05
   0.192481E-01   0.248281E+05
   0.196370E-01   0.246636E+05
   0.200337E-01   0.244882E+05
   0.204384E-01   0.243002E+05
   0.208513E-01   0.240979E+05
   0.212725E-01   0.238798E+05
   0.217022E-01   0.236453E+05
   0.221406E-01   0.233963E+05
   0.225879E-01   0.231347E+05
   0.230442E-01   0.228627E+05
   0.235097E-01   0.225823E+05
   0.239847E-01   0.222949E+05
   0.244692E-01   0.220012E+05
   0.249635E-01   0.217015E+05
   0.254678E-01   0.213961E+05
   0.259823E-01   0.210854E+05
   0.265072E-01   0.207695E+05
   0.270426E-01   0.204471E+05
   0.275889E-01   0.201171E+05
   0.281463E-01   0.197786E+05
   0.287149E-01   0.194306E+05
   0.292949E-01   0.190733E+05
   0.298867E-01   0.187093E+05
   0.304905E-01   0.183412E+05
   0.311064E-01   0.179714E+05
   0.317348E-01   0.176022E+05
   0.323759E-01   0.172352E+05
   0.330299E-01   0.168708E+05
   0.336972E-01   0.165091E+05
   0.343779E-01   0.161503E+05
   0.350724E-01   0.157947E+05
   0.357809E-01   0.154428E+05
   0.365038E-01   0.150956E+05
   0.372412E-01   0.147543E+05
   0.379935E-01   0.144199E+05
   0.387610E-01   0.140932E+05
   0.395440E-01   0.137750E+05
   0.403429E-01   0.134660E+05
   0.411579E-01   0.131668E+05
   0.419893E-01   0.128778E+05
   0.428375E-01   0.125995E+05
   0.437029E-01   0.123323E+05
   0.445858E-01   0.120764E+05
   0.454865E-01   0.118318E+05
   0.464053E-01   0.115988E+05
   0.473428E-01   0.113773E+05
   0.482992E-01   0.111672E+05
   0.492749E-01   0.109681E+05
   0.502703E-01   0.107795E+05
   0.512858E-01   0.106010E+05
   0.523219E-01   0.104320E+05
   0.533789E-01   0.102714E+05
   0.544572E-01   0.101180E+05
   0.555573E-01   0.997101E+04
   0.566796E-01   0.982916E+04
   0.578246E-01   0.969115E+04
   0.589927E-01   0.955565E+04
   0.601845E-01   0.942140E+04
   0.614003E-01   0.928658E+04
   0.626407E-01   0.914888E+04
   0.639061E-01   0.900608E+04
   0.651971E-01   0.885679E+04
   0.665142E-01   0.870189E+04
   0.678578E-01   0.854272E+04
   0.692287E-01   0.837994E+04
   0.706272E-01   0.821014E+04
   0.720539E-01   0.802854E+04
   0.735095E-01   0.783147E+04
   0.749945E-01   0.762029E+04
   0.765095E-01   0.739840E+04
   0.780551E-01   0.716877E+04
   0.796319E-01   0.693280E+04
   0.812406E-01   0.669148E+04
   0.828817E-01   0.644637E+04
   0.845561E-01   0.620014E+04
   0.862642E-01   0.595532E+04
   0.880068E-01   0.571457E+04
   0.897847E-01   0.548044E+04
   0.915985E-01   0.525529E+04
   0.934489E-01   0.504150E+04
   0.953367E-01   0.484108E+04
   0.972626E-01   0.465562E+04
   0.992274E-01   0.448605E+04
   0.101232E+00   0.433300E+04
   0.103277E+00   0.419689E+04
   0.105363E+00   0.407712E+04
   0.107492E+00   0.397240E+04
   0.109663E+00   0.388151E+04
   0.111879E+00   0.380230E+04
   0.114139E+00   0.373197E+04
   0.116445E+00   0.366783E+04
   0.118797E+00   0.360665E+04
   0.121197E+00   0.354508E+04
   0.123645E+00   0.348000E+04
