#    L    TT             EE             TE          
   117    0.32575E+04    0.99652E+00   -0.34451E+02
   118    0.32916E+04    0.10063E+01   -0.35036E+02
   119    0.33257E+04    0.10157E+01   -0.35611E+02
   120    0.33599E+04    0.10246E+01   -0.36176E+02
   121    0.33941E+04    0.10332E+01   -0.36730E+02
   122    0.34284E+04    0.10413E+01   -0.37272E+02
   123    0.34628E+04    0.10490E+01   -0.37803E+02
   124    0.34972E+04    0.10562E+01   -0.38320E+02
   125    0.35317E+04    0.10629E+01   -0.38825E+02
   126    0.35662E+04    0.10693E+01   -0.39317E+02
   127    0.36006E+04    0.10751E+01   -0.39795E+02
   128    0.36351E+04    0.10806E+01   -0.40258E+02
   129    0.36697E+04    0.10854E+01   -0.40706E+02
   130    0.37042E+04    0.10898E+01   -0.41138E+02
   131    0.37388E+04    0.10937E+01   -0.41555E+02
   132    0.37734E+04    0.10972E+01   -0.41955E+02
   133    0.38079E+04    0.11001E+01   -0.42339E+02
   134    0.38424E+04    0.11026E+01   -0.42703E+02
   135    0.38769E+04    0.11045E+01   -0.43051E+02
   136    0.39113E+04    0.11059E+01   -0.43378E+02
   137    0.39456E+04    0.11069E+01   -0.43687E+02
   138    0.39799E+04    0.11073E+01   -0.43976E+02
   139    0.40139E+04    0.11073E+01   -0.44244E+02
   140    0.40480E+04    0.11067E+01   -0.44493E+02
   141    0.40818E+04    0.11056E+01   -0.44720E+02
   142    0.41157E+04    0.11040E+01   -0.44926E+02
   143    0.41495E+04    0.11020E+01   -0.45110E+02
   144    0.41830E+04    0.10994E+01   -0.45273E+02
   145    0.42164E+04    0.10965E+01   -0.45413E+02
   146    0.42498E+04    0.10930E+01   -0.45530E+02
   147    0.42829E+04    0.10891E+01   -0.45624E+02
   148    0.43158E+04    0.10846E+01   -0.45695E+02
   149    0.43486E+04    0.10797E+01   -0.45742E+02
   150    0.43811E+04    0.10745E+01   -0.45763E+02
   151    0.44134E+04    0.10688E+01   -0.45760E+02
   152    0.44454E+04    0.10625E+01   -0.45733E+02
   153    0.44773E+04    0.10560E+01   -0.45679E+02
   154    0.45090E+04    0.10490E+01   -0.45600E+02
   155    0.45403E+04    0.10417E+01   -0.45495E+02
   156    0.45714E+04    0.10340E+01   -0.45365E+02
   157    0.46023E+04    0.10259E+01   -0.45209E+02
   158    0.46329E+04    0.10176E+01   -0.45026E+02
   159    0.46631E+04    0.10088E+01   -0.44817E+02
   160    0.46932E+04    0.99975E+00   -0.44580E+02
   161    0.47229E+04    0.99049E+00   -0.44317E+02
   162    0.47524E+04    0.98087E+00   -0.44028E+02
   163    0.47817E+04    0.97097E+00   -0.43711E+02
   164    0.48105E+04    0.96087E+00   -0.43368E+02
   165    0.48391E+04    0.95050E+00   -0.42996E+02
   166    0.48674E+04    0.94000E+00   -0.42598E+02
   167    0.48955E+04    0.92916E+00   -0.42173E+02
   168    0.49230E+04    0.91834E+00   -0.41720E+02
