#    L    TT             EE             BB             TE             PP             TP             EP          
    54   0.145972E+04   0.144127E+00   0.000000E+00  -0.408950E+00   0.124687E-06   0.783894E-03  -0.727789E-06
    55   0.148013E+04   0.152836E+00   0.000000E+00  -0.646345E+00   0.124073E-06   0.768561E-03  -0.713174E-06
    56   0.150090E+04   0.161789E+00   0.000000E+00  -0.896145E+00   0.123448E-06   0.754137E-03  -0.688658E-06
    57   0.152195E+04   0.170879E+00   0.000000E+00  -0.115818E+01   0.122815E-06   0.740518E-03  -0.656925E-06
    58   0.154330E+04   0.180118E+00   0.000000E+00  -0.143304E+01   0.122172E-06   0.727551E-03  -0.620201E-06
    59   0.156482E+04   0.189548E+00   0.000000E+00  -0.172132E+01   0.121522E-06   0.715080E-03  -0.580707E-06
    60   0.158651E+04   0.199225E+00   0.000000E+00  -0.202218E+01   0.120863E-06   0.702951E-03  -0.540659E-06
    61   0.160869E+04   0.209245E+00   0.000000E+00  -0.233468E+01   0.120197E-06   0.691033E-03  -0.502168E-06
    62   0.163075E+04   0.219594E+00   0.000000E+00  -0.265978E+01   0.119525E-06   0.679276E-03  -0.466940E-06
    63   0.165291E+04   0.230228E+00   0.000000E+00  -0.299858E+01   0.118848E-06   0.667655E-03  -0.436579E-06
    64   0.167547E+04   0.241158E+00   0.000000E+00  -0.335236E+01   0.118166E-06   0.656143E-03  -0.412683E-06
    65   0.169804E+04   0.252355E+00   0.000000E+00  -0.372184E+01   0.117481E-06   0.644713E-03  -0.396853E-06
    66   0.172092E+04   0.263752E+00   0.000000E+00  -0.410519E+01   0.116793E-06   0.633361E-03  -0.390683E-06
    67   0.174394E+04   0.275349E+00   0.000000E+00  -0.449959E+01   0.116104E-06   0.622167E-03  -0.395766E-06
    68   0.176739E+04   0.287187E+00   0.000000E+00  -0.490324E+01   0.115412E-06   0.611232E-03  -0.413689E-06
    69   0.179102E+04   0.299228E+00   0.000000E+00  -0.531428E+01   0.114720E-06   0.600659E-03  -0.446040E-06
    70   0.181498E+04   0.311511E+00   0.000000E+00  -0.573426E+01   0.114027E-06   0.590550E-03  -0.494404E-06
    71   0.183910E+04   0.324028E+00   0.000000E+00  -0.616548E+01   0.113333E-06   0.580975E-03  -0.558193E-06
    72   0.186342E+04   0.336750E+00   0.000000E+00  -0.660938E+01   0.112639E-06   0.571885E-03  -0.628116E-06
    73   0.188789E+04   0.349645E+00   0.000000E+00  -0.706664E+01   0.111944E-06   0.563204E-03  -0.692724E-06
    74   0.191256E+04   0.362700E+00   0.000000E+00  -0.753649E+01   0.111250E-06   0.554852E-03  -0.740579E-06
    75   0.193755E+04   0.375927E+00   0.000000E+00  -0.801753E+01   0.110555E-06   0.546752E-03  -0.760254E-06
    76   0.196279E+04   0.389326E+00   0.000000E+00  -0.850920E+01   0.109860E-06   0.538832E-03  -0.744322E-06
    77   0.198834E+04   0.402889E+00   0.000000E+00  -0.901132E+01   0.109165E-06   0.531051E-03  -0.701312E-06
    78   0.201424E+04   0.416641E+00   0.000000E+00  -0.952529E+01   0.108470E-06   0.523375E-03  -0.643730E-06
    79   0.204031E+04   0.430528E+00   0.000000E+00  -0.100473E+02   0.107776E-06   0.515770E-03  -0.584067E-06
    80   0.206665E+04   0.444553E+00   0.000000E+00  -0.105787E+02   0.107084E-06   0.508203E-03  -0.534802E-06
    81   0.209316E+04   0.458667E+00   0.000000E+00  -0.111200E+02   0.106393E-06   0.500652E-03  -0.506008E-06
    82   0.211992E+04   0.472890E+00   0.000000E+00  -0.116701E+02   0.105704E-06   0.493151E-03  -0.498158E-06
    83   0.214687E+04   0.487197E+00   0.000000E+00  -0.122287E+02   0.105018E-06   0.485747E-03  -0.509329E-06
    84   0.217409E+04   0.501586E+00   0.000000E+00  -0.127937E+02   0.104333E-06   0.478488E-03  -0.537601E-06
    85   0.220145E+04   0.516032E+00   0.000000E+00  -0.133663E+02   0.103652E-06   0.471421E-03  -0.581057E-06
    86   0.222904E+04   0.530546E+00   0.000000E+00  -0.139454E+02   0.102973E-06   0.464581E-03  -0.637214E-06
    87   0.225707E+04   0.545099E+00   0.000000E+00  -0.145301E+02   0.102297E-06   0.457961E-03  -0.701330E-06
    88   0.228509E+04   0.559706E+00   0.000000E+00  -0.151206E+02   0.101625E-06   0.451543E-03  -0.768099E-06
    89   0.231346E+04   0.574351E+00   0.000000E+00  -0.157185E+02   0.100955E-06   0.445308E-03  -0.832221E-06
    90   0.234204E+04   0.588999E+00   0.000000E+00  -0.163209E+02   0.100289E-06   0.439237E-03  -0.888399E-06
    91   0.237074E+04   0.603640E+00   0.000000E+00  -0.169287E+02   0.996266E-07   0.433314E-03  -0.932386E-06
    92   0.239971E+04   0.618263E+00   0.000000E+00  -0.175412E+02   0.989676E-07   0.427533E-03  -0.964117E-06
    93   0.242895E+04   0.632858E+00   0.000000E+00  -0.181583E+02   0.983122E-07   0.421889E-03  -0.984574E-06
