#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.178398E-03   0.203543E+08   0.203541E+08   0.229026E+08   0.227825E+08   0.000000E+00   0.203543E+08   0.203543E+08   0.203624E+08  -0.457765E+00   0.993237E+07   0.993231E+07   0.109724E+03
   0.197072E-03   0.203521E+08   0.203518E+08   0.220525E+08   0.219102E+08   0.000000E+00   0.203520E+08   0.203520E+08   0.203598E+08  -0.457700E+00   0.993123E+07   0.993116E+07   0.120049E+03
   0.217702E-03   0.203493E+08   0.203490E+08   0.210546E+08   0.208871E+08   0.000000E+00   0.203492E+08   0.203492E+08   0.203566E+08  -0.457621E+00   0.992985E+07   0.992977E+07   0.131075E+03
   0.240490E-03   0.203459E+08   0.203456E+08   0.198935E+08   0.196978E+08   0.000000E+00   0.203459E+08   0.203459E+08   0.203528E+08  -0.457527E+00   0.992818E+07   0.992807E+07   0.142757E+03
   0.265664E-03   0.203419E+08   0.203414E+08   0.185570E+08   0.183307E+08   0.000000E+00   0.203418E+08   0.203418E+08   0.203483E+08  -0.457414E+00   0.992615E+07   0.992602E+07   0.155015E+03
   0.293474E-03   0.203369E+08   0.203364E+08   0.170392E+08   0.167808E+08   0.000000E+00   0.203368E+08   0.203368E+08   0.203428E+08  -0.457277E+00   0.992369E+07   0.992354E+07   0.167721E+03
   0.324194E-03   0.203310E+08   0.203303E+08   0.153442E+08   0.150536E+08   0.000000E+00   0.203309E+08   0.203309E+08   0.203362E+08  -0.457115E+00   0.992073E+07   0.992055E+07   0.180690E+03
   0.358130E-03   0.203238E+08   0.203230E+08   0.134905E+08   0.131698E+08   0.000000E+00   0.203237E+08   0.203237E+08   0.203284E+08  -0.456921E+00   0.991715E+07   0.991694E+07   0.193669E+03
   0.395618E-03   0.203152E+08   0.203143E+08   0.115160E+08   0.111703E+08   0.000000E+00   0.203151E+08   0.203151E+08   0.203191E+08  -0.456692E+00   0.991286E+07   0.991261E+07   0.206328E+03
   0.437031E-03   0.203049E+08   0.203038E+08   0.948153E+07   0.911992E+07   0.000000E+00   0.203047E+08   0.203047E+08   0.203080E+08  -0.456421E+00   0.990771E+07   0.990743E+07   0.218263E+03
   0.482778E-03   0.202926E+08   0.202912E+08   0.747290E+07   0.710868E+07   0.000000E+00   0.202923E+08   0.202923E+08   0.202949E+08  -0.456104E+00   0.990157E+07   0.990124E+07   0.228995E+03
   0.533315E-03   0.202779E+08   0.202763E+08   0.559630E+07   0.524680E+07   0.000000E+00   0.202776E+08   0.202776E+08   0.202795E+08  -0.455733E+00   0.989425E+07   0.989387E+07   0.237998E+03
   0.589141E-03   0.202605E+08   0.202587E+08   0.396606E+07   0.365113E+07   0.000000E+00   0.202602E+08   0.202602E+08   0.202615E+08  -0.455302E+00   0.988559E+07   0.988516E+07   0.244732E+03
   0.650812E-03   0.202400E+08   0.202379E+08   0.268176E+07   0.242060E+07   0.000000E+00   0.202396E+08   0.202396E+08   0.202405E+08  -0.454804E+00   0.987538E+07   0.987489E+07   0.248703E+03
   0.718937E-03   0.202158E+08   0.202134E+08   0.179686E+07   0.160326E+07   0.000000E+00   0.202154E+08   0.202154E+08   0.202160E+08  -0.454231E+00   0.986339E+07   0.986285E+07   0.249527E+03
   0.794194E-03   0.201876E+08   0.201849E+08   0.128846E+07   0.116536E+07   0.000000E+00   0.201872E+08   0.201872E+08   0.201876E+08  -0.453572E+00   0.984940E+07   0.984881E+07   0.246999E+03
   0.877329E-03   0.201548E+08   0.201517E+08   0.104686E+07   0.982715E+06   0.000000E+00   0.201543E+08   0.201543E+08   0.201546E+08  -0.452815E+00   0.983315E+07   0.983252E+07   0.241127E+03
   0.969167E-03   0.201166E+08   0.201133E+08   0.907200E+06   0.877437E+06   0.000000E+00   0.201161E+08   0.201161E+08   0.201164E+08  -0.451946E+00   0.981435E+07   0.981368E+07   0.232126E+03
   0.107062E-02   0.200726E+08   0.200690E+08   0.728933E+06   0.704682E+06   0.000000E+00   0.200720E+08   0.200720E+08   0.200723E+08  -0.450947E+00   0.979269E+07   0.979198E+07   0.220361E+03
   0.118269E-02   0.200219E+08   0.200181E+08   0.484228E+06   0.445705E+06   0.000000E+00   0.200212E+08   0.200212E+08   0.200214E+08  -0.449799E+00   0.976779E+07   0.976706E+07   0.206271E+03
   0.130649E-02   0.199636E+08   0.199597E+08   0.269149E+06   0.214766E+06   0.000000E+00   0.199630E+08   0.199630E+08   0.199631E+08  -0.448483E+00   0.973927E+07   0.973852E+07   0.190357E+03
   0.144325E-02   0.198970E+08   0.198929E+08   0.181756E+06   0.123588E+06   0.000000E+00   0.198963E+08   0.198963E+08   0.198964E+08  -0.446979E+00   0.970665E+07   0.970590E+07   0.173242E+03
   0.159433E-02   0.198210E+08   0.198168E+08   0.174855E+06  -0.263327E+06   0.000000E+00   0.198203E+08   0.198203E+08   0.198202E+08  -0.445264E+00   0.966950E+07   0.966876E+07   0.155741E+03
   0.176122E-02   0.197344E+08   0.197303E+08   0.117623E+06  -0.214828E+06   0.000000E+00   0.197337E+08   0.197337E+08   0.197337E+08  -0.443318E+00   0.962723E+07   0.962650E+07   0.138767E+03
   0.194558E-02   0.196363E+08   0.196322E+08   0.291138E+05  -0.175155E+06   0.000000E+00   0.196356E+08   0.196356E+08   0.196356E+08  -0.441112E+00   0.957930E+07   0.957858E+07   0.123113E+03
   0.214924E-02   0.195254E+08   0.195212E+08   0.243812E+05  -0.142714E+06   0.000000E+00   0.195247E+08   0.195247E+08   0.195246E+08  -0.438617E+00   0.952512E+07   0.952441E+07   0.109319E+03
   0.237422E-02   0.194003E+08   0.193961E+08   0.294135E+05  -0.116194E+06   0.000000E+00   0.193996E+08   0.193996E+08   0.193996E+08  -0.435806E+00   0.946405E+07   0.946336E+07   0.976536E+02
   0.262275E-02   0.192597E+08   0.192555E+08  -0.566248E+04  -0.945232E+05   0.000000E+00   0.192590E+08   0.192590E+08   0.192590E+08  -0.432648E+00   0.939545E+07   0.939476E+07   0.879797E+02
   0.289729E-02   0.191024E+08   0.190979E+08   0.434594E+04  -0.768228E+05   0.000000E+00   0.191016E+08   0.191016E+08   0.191016E+08  -0.429111E+00   0.931864E+07   0.931795E+07   0.797467E+02
   0.320057E-02   0.189268E+08   0.189221E+08  -0.122513E+05  -0.623729E+05   0.000000E+00   0.189260E+08   0.189260E+08   0.189260E+08  -0.425164E+00   0.923293E+07   0.923224E+07   0.723116E+02
   0.353560E-02   0.187315E+08   0.187266E+08  -0.949398E+04  -0.505837E+05   0.000000E+00   0.187307E+08   0.187307E+08   0.187307E+08  -0.420776E+00   0.913764E+07   0.913694E+07   0.652123E+02
   0.390571E-02   0.185152E+08   0.185100E+08  -0.173805E+05  -0.409718E+05   0.000000E+00   0.185143E+08   0.185143E+08   0.185143E+08  -0.415915E+00   0.903205E+07   0.903137E+07   0.584408E+02
   0.431455E-02   0.182763E+08   0.182708E+08  -0.851958E+04  -0.331411E+05   0.000000E+00   0.182754E+08   0.182754E+08   0.182754E+08  -0.410547E+00   0.891549E+07   0.891481E+07   0.522907E+02
   0.476619E-02   0.180135E+08   0.180076E+08  -0.551073E+04  -0.267669E+05   0.000000E+00   0.180125E+08   0.180125E+08   0.180125E+08  -0.404642E+00   0.878726E+07   0.878658E+07   0.469585E+02
   0.526510E-02   0.177255E+08   0.177191E+08  -0.927287E+04  -0.215834E+05   0.000000E+00   0.177244E+08   0.177244E+08   0.177244E+08  -0.398170E+00   0.864669E+07   0.864602E+07   0.422738E+02
   0.581624E-02   0.174109E+08   0.174039E+08  -0.786568E+04  -0.173726E+05   0.000000E+00   0.174097E+08   0.174097E+08   0.174097E+08  -0.391100E+00   0.849316E+07   0.849250E+07   0.379545E+02
   0.642508E-02   0.170685E+08   0.170608E+08  -0.865229E+04  -0.139560E+05   0.000000E+00   0.170672E+08   0.170672E+08   0.170672E+08  -0.383405E+00   0.832606E+07   0.832541E+07   0.340013E+02
   0.709764E-02   0.166971E+08   0.166886E+08  -0.661599E+04  -0.111874E+05   0.000000E+00   0.166957E+08   0.166957E+08   0.166957E+08  -0.375059E+00   0.814482E+07   0.814417E+07   0.305292E+02
   0.784061E-02   0.162957E+08   0.162861E+08  -0.420244E+04  -0.894712E+04   0.000000E+00   0.162941E+08   0.162941E+08   0.162941E+08  -0.366037E+00   0.794890E+07   0.794825E+07   0.274283E+02
   0.866135E-02   0.158632E+08   0.158523E+08  -0.345477E+04  -0.713709E+04   0.000000E+00   0.158613E+08   0.158613E+08   0.158613E+08  -0.356316E+00   0.773779E+07   0.773715E+07   0.246261E+02
   0.956801E-02   0.153986E+08   0.153863E+08  -0.399548E+04  -0.567717E+04   0.000000E+00   0.153965E+08   0.153965E+08   0.153965E+08  -0.345874E+00   0.751103E+07   0.751040E+07   0.221514E+02
