#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.124515E+04   0.137298E+01   0.987064E-03   0.137298E+01   0.695101E-01  -0.142082E-06   0.987064E-03  -0.142082E-06   0.130477E-06
    44   0.126347E+04   0.127397E+01   0.965617E-03   0.127397E+01   0.750172E-01  -0.100418E-06   0.965617E-03  -0.100418E-06   0.130049E-06
    45   0.128217E+04   0.116074E+01   0.944959E-03   0.116074E+01   0.807720E-01  -0.102179E-06   0.944959E-03  -0.102179E-06   0.129596E-06
    46   0.130117E+04   0.103019E+01   0.925129E-03   0.103019E+01   0.867711E-01  -0.157127E-06   0.925129E-03  -0.157127E-06   0.129121E-06
    47   0.132032E+04   0.884087E+00   0.906023E-03   0.884087E+00   0.930171E-01  -0.252274E-06   0.906023E-03  -0.252274E-06   0.128625E-06
    48   0.133956E+04   0.728100E+00   0.887500E-03   0.728100E+00   0.995211E-01  -0.368944E-06   0.887500E-03  -0.368944E-06   0.128109E-06
    49   0.135896E+04   0.567285E+00   0.869417E-03   0.567285E+00   0.106272E+00  -0.488461E-06   0.869417E-03  -0.488461E-06   0.127575E-06
    50   0.137876E+04   0.399922E+00   0.851634E-03   0.399922E+00   0.113252E+00  -0.592148E-06   0.851634E-03  -0.592148E-06   0.127025E-06
    51   0.139872E+04   0.222465E+00   0.834061E-03   0.222465E+00   0.120436E+00  -0.665279E-06   0.834061E-03  -0.665279E-06   0.126460E-06
    52   0.141908E+04   0.296955E-01   0.816806E-03   0.296955E-01   0.127907E+00  -0.708926E-06   0.816806E-03  -0.708926E-06   0.125882E-06
    53   0.143943E+04  -0.182170E+00   0.800031E-03  -0.182170E+00   0.135808E+00  -0.728110E-06   0.800031E-03  -0.728110E-06   0.125290E-06
    54   0.145972E+04  -0.408950E+00   0.783896E-03  -0.408950E+00   0.144127E+00  -0.727853E-06   0.783896E-03  -0.727853E-06   0.124687E-06
    55   0.148013E+04  -0.646345E+00   0.768561E-03  -0.646345E+00   0.152836E+00  -0.713174E-06   0.768561E-03  -0.713174E-06   0.124073E-06
    56   0.150090E+04  -0.896145E+00   0.754136E-03  -0.896145E+00   0.161789E+00  -0.688627E-06   0.754136E-03  -0.688627E-06   0.123448E-06
    57   0.152195E+04  -0.115818E+01   0.740516E-03  -0.115818E+01   0.170879E+00  -0.656892E-06   0.740516E-03  -0.656892E-06   0.122815E-06
    58   0.154330E+04  -0.143304E+01   0.727549E-03  -0.143304E+01   0.180118E+00  -0.620178E-06   0.727549E-03  -0.620178E-06   0.122172E-06
    59   0.156482E+04  -0.172132E+01   0.715079E-03  -0.172132E+01   0.189548E+00  -0.580697E-06   0.715079E-03  -0.580697E-06   0.121522E-06
    60   0.158651E+04  -0.202218E+01   0.702951E-03  -0.202218E+01   0.199225E+00  -0.540659E-06   0.702951E-03  -0.540659E-06   0.120863E-06
    61   0.160869E+04  -0.233468E+01   0.691033E-03  -0.233468E+01   0.209245E+00  -0.502174E-06   0.691033E-03  -0.502174E-06   0.120197E-06
